date,eur_yld_Y1,eur_yld_Y10,eur_yld_Y5
2004-09-06,2.29884,4.20922,3.45722
2004-09-07,2.32889,4.20963,3.47952
2004-09-08,2.34667,4.22842,3.50789
2004-09-09,2.30899,4.16187,3.43063
2004-09-10,2.27157,4.12098,3.37473
2004-09-13,2.30719,4.13896,3.41032
2004-09-14,2.29586,4.13065,3.39588
2004-09-15,2.29769,4.12875,3.39587
2004-09-16,2.30835,4.13007,3.40429
2004-09-17,2.28175,4.09898,3.36051
2004-09-20,2.28119,4.08128,3.34966
2004-09-21,2.29179,4.08847,3.36076
2004-09-22,2.29122,4.06737,3.34664
2004-09-23,2.24383,3.99515,3.26286
2004-09-24,2.28109,4.04046,3.31903
2004-09-27,2.26837,4.01346,3.28994
2004-09-28,2.26559,4.02205,3.28546
2004-09-29,2.29113,4.05765,3.325
2004-09-30,2.28166,4.06569,3.32965
2004-10-01,2.27651,4.08867,3.32463
2004-10-04,2.29355,4.11555,3.36485
2004-10-05,2.28024,4.07671,3.32684
2004-10-06,2.27948,4.06881,3.32158
2004-10-07,2.27764,4.0807,3.32692
2004-10-08,2.22729,4.02658,3.25604
2004-10-11,2.23158,4.03726,3.25875
2004-10-12,2.20787,3.99307,3.21233
2004-10-13,2.22298,4.00557,3.23177
2004-10-14,2.20673,3.98615,3.20742
2004-10-15,2.1828,3.97607,3.1856
2004-10-18,2.18443,3.98323,3.186
2004-10-19,2.19398,4.00473,3.20678
2004-10-20,2.17254,3.96201,3.15925
2004-10-21,2.18054,3.9591,3.1633
2004-10-22,2.1911,3.9605,3.16952
2004-10-25,2.16716,3.91988,3.12088
2004-10-26,2.16781,3.91448,3.11468
2004-10-27,2.17609,3.91793,3.12376
2004-10-28,2.2196,3.9949,3.2158
2004-10-29,2.21786,3.92654,3.14827
2004-11-01,2.1983,3.96256,3.16601
2004-11-02,2.21808,3.98547,3.19831
2004-11-03,2.19883,3.98577,3.19859
2004-11-04,2.19202,3.98601,3.19859
2004-11-05,2.18367,3.9863,3.19901
2004-11-08,2.17584,3.9854,3.19895
2004-11-09,2.24641,3.94411,3.18121
2004-11-10,2.23557,3.93083,3.15926
2004-11-11,2.2118,3.91217,3.12608
2004-11-12,2.20473,3.88788,3.10858
2004-11-15,2.20333,3.85399,3.08063
2004-11-16,2.22389,3.83133,3.08282
2004-11-17,2.22547,3.85062,3.09611
2004-11-18,2.24648,3.87872,3.13098
2004-11-19,2.23665,3.86185,3.11139
2004-11-22,2.22291,3.83456,3.08189
2004-11-23,2.22168,3.8269,3.07464
2004-11-24,2.20131,3.82049,3.05522
2004-11-25,2.17916,3.80757,3.03701
2004-11-26,2.1735,3.80496,3.03959
2004-11-29,2.19836,3.84523,3.08305
2004-11-30,2.17984,3.82285,3.05604
2004-12-01,2.16034,3.79885,3.03021
2004-12-02,2.19663,3.82869,3.07582
2004-12-03,2.18109,3.79978,3.03806
2004-12-06,2.14203,3.75088,2.98229
2004-12-07,2.13836,3.72288,2.95582
2004-12-08,2.15747,3.72505,2.97473
2004-12-09,2.14092,3.65007,2.91444
2004-12-10,2.15663,3.62698,2.90679
2004-12-13,2.15255,3.63539,2.91714
2004-12-14,2.15854,3.62138,2.91269
2004-12-15,2.15277,3.57559,2.88172
2004-12-16,2.18434,3.60038,2.93094
2004-12-17,2.20985,3.64856,2.98922
2004-12-20,2.19181,3.61644,2.94417
2004-12-21,2.24161,3.64717,2.98681
2004-12-22,2.2376,3.64128,3.00113
2004-12-23,2.2147,3.61355,2.96263
